count,name
14,part_column=1949-04MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
15,part_column=1949-05FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
15,part_column=1949-05MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
4,part_column=1949-06FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
29,part_column=1949-06MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
9,part_column=1949-07FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
25,part_column=1949-07MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
22,part_column=1949-08FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
407,part_column=1949-08MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
3,part_column=1949-09FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
60,part_column=1949-09MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
13,part_column=1949-10FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
348,part_column=1949-10MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
21,part_column=1949-11FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
38,part_column=1949-11MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1949-12FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
53,part_column=1949-12MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
51,part_column=1950-01FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
118,part_column=1950-01MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
9,part_column=1950-02FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
12,part_column=1950-02MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
13,part_column=1950-03FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
16,part_column=1950-03MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
7,part_column=1950-04FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
60,part_column=1950-04MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
6,part_column=1950-05FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
24,part_column=1950-05MALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
4,part_column=1950-06FEMALE/part-00000-11095080-557c-41c9-b0f4-37eefebaf9a6.c000.json
